title,year,genres,avg rating,rating,tags
Antonia's Line (Antonia),1995,Comedy,3.88,5.0|5.0|5.0|3.5|2.5|5.0|1.0|4.0,N/A
Angels and Insects,1995,Drama,3.86,5.0|5.0|5.0|1.0|3.0|3.0|5.0,N/A
Apollo 13,1995,Adventure,3.85,3.0|4.0|4.5|4.0|5.0|4.0|3.5|3.0|4.0|3.0|5.0|5.0|4.0|5.0|5.0|5.0|5.0|3.0|4.0|3.0|3.0|4.0|3.0|3.0|4.0|4.0|2.0|4.0|4.0|3.0|5.0|3.5|5.0|4.0|5.0|5.0|3.0|4.0|5.0|3.0|4.0|1.0|4.0|3.0|4.0|4.0|3.0|2.0|3.5|5.0|3.5|5.0|3.0|3.0|4.0|4.0|5.0|4.0|4.0|4.5|3.0|4.0|5.0|4.0|4.0|4.0|2.5|2.0|5.0|4.0|5.0|4.0|4.0|4.0|4.0|4.0|5.0|4.5|4.0|5.0|2.0|4.5|2.0|5.0|4.0|3.0|3.0|2.5|4.0|4.0|4.0|4.0|5.0|3.0|5.0|4.5|5.0|2.0|4.0|3.0|4.0|3.0|5.0|2.0|4.0|3.0|4.0|4.0|3.5|4.5|3.0|3.0|3.5|4.0|4.0|5.0|4.0|4.0|3.5|3.5|3.0|4.0|3.0|3.0|2.0|3.0|5.0|5.0|5.0|3.5|4.0|4.0|5.0|4.0|3.0|5.0|4.0|4.0|5.0|3.0|3.5|2.0|5.0|5.0|4.0|4.0|4.0|3.0|4.0|3.0|3.0|5.0|4.5|5.0|3.0|4.5|4.0|4.0|3.5|2.0|5.0|5.0|3.5|3.5|4.5|5.0|3.0|4.0|4.5|4.0|5.0|4.0|4.0|4.0|5.0|4.0|4.5|3.0|4.0|3.0|3.0|3.0|4.0|4.0|3.0|4.0|5.0|3.0|4.0|4.5|5.0|3.0|3.5|3.5|2.5|2.0|4.0|5.0|5.0|2.0|3.0,nasa|moon|space
Dead Man Walking,1995,Crime,3.84,4.0|5.0|4.0|4.0|4.0|5.0|4.0|3.0|4.0|4.0|5.0|5.0|4.0|3.0|4.0|5.0|0.5|3.0|4.0|4.0|5.0|4.0|4.5|5.0|4.0|5.0|4.0|5.0|4.0|4.0|4.0|5.0|4.0|4.0|5.0|4.0|4.5|4.0|1.0|1.0|3.5|4.0|3.5|3.0|4.0|3.0|3.0|3.0|3.0|3.5|4.0|3.5|3.0|4.0|5.0|4.5|4.0|3.0|4.0|4.0|2.0|5.0|3.5|3.0|4.0|3.5|4.0,death penalty|nun
Nixon,1995,Drama,3.83,4.0|5.0|4.0|4.0|4.0|5.0|4.0|3.0|4.0|3.0|3.0|4.0|3.0|3.0|4.0|3.0|5.0|4.0,politics|president
Jeffrey,1995,Comedy,3.83,3.0|3.0|4.0|5.0|5.0|3.0,N/A
Memories (Memorîzu),1995,Animation,3.83,4.0|4.5|3.0,N/A
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),1995,Horror,3.8,3.0|3.0|3.0|5.0|5.0,N/A
Whisper of the Heart (Mimi wo sumaseba),1995,Animation,3.8,4.0|2.5|4.5|3.5|4.5,N/A
Tommy Boy,1995,Comedy,3.78,5.0|4.0|5.0|2.0|5.0|4.0|2.0|3.0|5.0|4.5|4.0|5.0|5.0|3.0|5.0|4.0|4.5|4.0|3.5|1.0|5.0|4.0|5.0|3.5|5.0|4.0|1.0|3.0|3.0|4.5|5.0|3.0|4.5|3.0|3.0|3.5|3.0|3.0|4.0|3.5|5.0|4.0|5.0|2.0|5.0|4.0|2.5|3.0|2.5|4.0,N/A
Sense and Sensibility,1995,Drama,3.78,4.0|3.0|4.0|3.0|5.0|3.0|3.5|1.0|5.0|5.0|1.0|4.5|0.5|3.0|3.0|4.0|4.0|5.0|4.0|4.0|4.0|5.0|3.0|5.0|3.0|3.5|5.0|3.0|5.0|1.0|4.0|5.0|3.5|4.0|5.0|3.0|4.0|3.5|4.0|4.0|2.0|5.0|4.0|4.0|5.0|4.0|4.0|3.5|5.0|5.0|5.0|5.0|4.5|3.0|3.0|0.5|5.0|5.0|5.0|3.5|4.0|3.0|3.5|3.5|3.0|4.0|4.0,jane austen
Friday,1995,Comedy,3.78,3.0|4.0|4.0|3.5|2.5|3.0|5.0|4.0|5.0|4.0|4.0|4.0|3.0|3.5|5.0|2.0|4.5|5.0|4.0|2.5,N/A
Ninja Scroll (Jûbei ninpûchô),1995,Action,3.77,3.5|4.0|5.0|4.0|1.5|5.0|3.5|4.5|4.0|3.0|4.5|4.0|2.5,N/A
Circle of Friends,1995,Drama,3.75,1.0|4.0|5.0|4.0|3.0|5.0|4.0|4.0|5.0|3.0|1.0|4.0|4.0|4.0|5.0|4.0,ireland
Mr. Holland's Opus,1995,Drama,3.71,4.0|5.0|3.5|4.0|3.0|5.0|3.0|5.0|4.0|3.0|3.0|3.5|4.0|4.0|4.0|5.0|5.0|4.0|4.0|5.0|5.0|4.5|3.0|4.0|2.0|3.0|5.0|5.0|1.0|4.0|4.5|1.0|3.0|3.0|4.0|3.0|5.0|5.0|5.0|3.0|5.0|2.0|2.0|3.0|5.0|3.0|4.0|2.5|3.0|3.0|4.5|3.0|3.0|4.5|3.0|5.0|4.0|5.0|4.0|3.0|4.0|4.0|5.0|3.0|2.5|3.5|5.0|4.0|5.0|3.0|4.0|3.0|3.5|3.0|5.0|4.0|2.0|2.5|1.0|4.0,music
Four Rooms,1995,Comedy,3.7,4.0|4.0|2.0|3.5|5.0|3.0|4.0|5.0|5.0|3.5|3.0|3.0|4.0|3.0|4.0|2.0|5.0|4.0|3.0|4.0,N/A
Richard III,1995,Drama,3.7,4.0|3.0|5.0|4.0|4.0|4.5|4.0|3.0|3.0|4.0|4.0|3.0|3.5|4.0|2.5,shakespeare
"American President, The",1995,Comedy,3.67,4.0|4.0|2.0|4.0|5.0|5.0|4.0|3.0|4.0|3.0|4.5|4.0|2.5|3.0|4.0|5.0|4.0|3.0|4.0|4.0|4.0|3.0|4.0|5.0|3.0|5.0|4.0|4.0|4.0|4.0|5.0|4.0|4.0|5.0|5.0|4.0|2.5|4.0|4.0|3.5|4.0|2.0|2.5|4.0|3.0|4.0|5.0|4.0|4.0|4.0|3.0|2.5|3.0|1.5|1.0|3.0|4.0|4.0|4.0|5.0|3.5|3.0|4.0|3.0|5.0|3.0|2.5|3.0|2.5|3.0,politics|president
Smoke,1995,Comedy,3.67,5.0|3.0|3.0|5.0|4.0|4.5|5.0|3.0|2.0|5.0|1.0|3.0|4.0|2.5|2.0|5.0|4.0|5.0,N/A
New Jersey Drive,1995,Crime,3.67,2.0|4.0|5.0,N/A
Roommates,1995,Comedy,3.67,4.0|2.0|5.0,N/A
"Horseman on the Roof, The (Hussard sur le toit, Le)",1995,Drama,3.67,4.0|4.0|3.0,N/A
Babe,1995,Children,3.65,4.0|4.0|5.0|2.5|4.0|4.0|3.0|5.0|3.0|5.0|5.0|3.0|4.5|1.0|2.0|4.0|5.0|4.0|4.0|5.0|4.0|3.0|2.5|2.0|3.0|3.0|1.5|2.0|4.0|4.0|3.0|4.0|5.0|4.0|5.0|4.0|5.0|5.0|2.0|4.0|4.0|2.5|5.0|5.0|4.0|4.5|1.0|5.0|2.0|3.0|4.0|5.0|1.0|4.0|4.0|4.0|5.0|4.0|4.0|3.5|3.0|2.5|5.0|3.0|2.0|4.0|5.0|5.0|3.5|4.0|2.5|3.0|4.0|4.0|4.0|5.0|4.0|3.5|4.0|3.0|3.0|3.0|4.0|4.0|5.0|5.0|3.5|3.0|3.5|5.0|5.0|4.0|4.0|2.0|4.0|4.5|4.0|4.0|4.0|3.0|2.0|3.0|5.0|3.5|4.0|5.0|3.0|5.0|4.0|5.0|2.5|2.5|2.0|4.0|2.5|3.5|3.0|2.5|3.0|4.0|4.0|4.0|2.0|1.0|4.0|4.0|3.0|3.5,pigs|villain nonexistent or not needed for good story|animal movie
Crimson Tide,1995,Drama,3.64,3.0|2.0|3.0|3.0|4.0|3.0|4.0|3.0|3.0|4.0|4.0|3.0|3.5|3.0|3.5|4.0|3.0|3.0|4.0|3.0|1.5|4.5|3.0|3.0|3.0|4.0|4.0|5.0|4.0|4.0|5.0|4.0|4.0|3.0|4.0|3.5|4.5|5.0|4.0|3.0|2.0|4.0|3.5|4.0|3.0|4.0|4.0|5.0|3.0|4.0|2.0|1.0|2.0|3.0|4.0|4.0|4.0|5.0|4.0|4.0|4.0|5.0|4.0|3.0|4.0|4.0|3.0|3.5|5.0|4.0|4.0|4.0|5.0|2.0|3.0|3.5|4.0|3.5|5.0|5.0|3.0|5.0|4.0|4.0|5.0|3.0|5.0|2.5|3.0|4.0|3.0|3.0|4.0|5.0|4.5|4.0|3.0|4.0|4.0|3.5|1.0|4.0|3.0,submarine
Leaving Las Vegas,1995,Drama,3.63,3.0|4.0|2.0|4.0|3.0|2.5|3.5|3.5|5.0|5.0|2.0|5.0|4.0|5.0|2.5|1.0|2.0|4.0|3.0|4.0|4.0|5.0|4.5|1.0|4.5|3.0|5.0|4.0|4.0|5.0|5.0|5.0|2.0|5.0|3.0|1.0|5.0|4.0|3.0|4.0|4.0|5.0|3.0|1.0|4.5|4.0|4.0|4.0|5.0|3.0|2.0|4.0|5.0|3.0|4.0|3.0|4.5|4.0|3.0|5.0|3.0|4.0|3.5|2.0|5.0|3.0|3.0|2.0|4.0|4.0|3.0|5.0|4.0|4.0|3.0|3.0,alcoholism
Don Juan DeMarco,1995,Comedy,3.61,3.0|3.0|4.0|4.0|4.0|4.0|3.0|5.0|4.0|3.0|4.0|4.0|3.0|3.0|4.0|3.0|3.5|3.0|4.0|5.0|3.0|5.0|3.0|3.5|3.0|4.0|3.0|3.5|1.0|4.0|4.0|5.0|3.5|4.0|4.0|4.0|3.5|3.0|3.0|4.0,psychology|mental illness
Desperado,1995,Action,3.56,5.0|3.0|4.0|3.0|1.0|5.0|3.0|3.5|4.5|4.0|5.0|5.0|3.0|3.0|4.0|2.0|3.0|1.0|3.0|4.0|4.5|5.0|2.0|3.5|3.0|4.0|4.5|3.0|4.5|4.0|4.0|3.5|2.5|5.0|3.0|3.0|4.0|5.0|3.0|3.0|3.0|1.0|5.0|4.0|4.0|4.0|3.0|3.0|3.0|3.5|3.5|4.0|4.0|3.0|4.0|4.0|2.0|3.5|5.0|3.0|3.0|5.0|3.5|3.0|5.0|3.0,N/A
Die Hard: With a Vengeance,1995,Action,3.56,3.0|4.0|3.0|4.0|3.0|3.5|3.5|4.0|4.0|4.0|5.0|4.0|2.0|5.0|5.0|4.0|3.0|3.0|4.0|4.0|3.5|5.0|4.0|3.0|3.0|4.0|3.0|4.0|3.0|4.0|5.0|3.0|3.0|3.0|3.5|3.0|5.0|4.0|4.0|1.0|5.0|4.0|3.0|3.0|3.0|3.0|4.0|4.0|3.0|3.0|2.0|4.0|3.0|4.5|4.0|3.0|3.0|3.5|5.0|5.0|2.0|2.0|4.0|5.0|4.0|3.5|3.0|3.0|2.0|4.0|2.5|3.0|2.0|3.5|3.0|4.0|4.0|3.0|4.0|5.0|4.0|2.0|3.5|4.0|3.0|3.5|2.0|5.0|2.0|2.0|3.0|5.0|3.0|3.5|3.0|3.0|3.5|1.0|4.0|2.0|3.0|4.0|3.0|4.0|4.0|5.0|3.0|4.0|5.0|3.0|3.0|4.5|3.0|3.0|4.5|5.0|3.0|3.0|3.0|5.0|2.5|3.0|4.5|2.0|3.0|5.0|4.5|5.0|3.0|3.0|3.0|5.0|4.0|5.0|5.0|4.0|3.0|3.0|4.5|3.0|2.5|5.0|4.0|4.0,N/A
Pride and Prejudice,1995,Drama,3.56,1.5|4.0|5.0|4.5|5.0|4.5|4.0|0.5|3.0,N/A
Swimming with Sharks,1995,Comedy,3.55,2.0|2.0|3.0|4.0|5.0|3.0|4.0|5.0|3.5|4.0,N/A
Rob Roy,1995,Action,3.55,5.0|4.0|4.0|5.0|4.0|3.0|3.0|2.0|3.0|2.0|4.0|3.0|5.0|4.0|1.5|3.0|4.0|5.0|4.0|4.0|2.5|4.0|3.0|4.0|3.0|3.0|3.5|3.0|3.0|4.0|5.0|3.0|4.0|3.0|4.0|3.0|1.0|3.5|5.0|5.0|4.0|3.0|4.0|3.0,N/A
Rumble in the Bronx (Hont faan kui),1995,Action,3.54,4.0|5.0|4.0|4.0|3.0|3.0|2.0|4.0|4.0|3.5|3.5|4.0|5.0|3.5|3.0|3.0|4.0|1.0|3.0|3.0|5.0|3.5|2.0|3.0|4.0|3.0|4.0|3.0|2.5|3.0|3.5|5.0|5.0|3.0|5.0|5.0|3.0|3.0|3.0|3.0|3.0|5.0|4.0|4.0|2.0|4.0,N/A
Welcome to the Dollhouse,1995,Comedy,3.54,5.0|2.5|4.0|2.5|3.0|4.0|3.0|3.5|3.0|3.0|2.0|5.0|4.5|5.0|4.0|4.0|4.0|3.0|2.5|4.0|2.0|4.0|4.0,adolescence
Othello,1995,Drama,3.5,4.0|4.0|4.0|3.0|4.0|4.0|3.0|4.0|3.0|3.5|4.0|2.5|2.5,shakespeare
In the Bleak Midwinter,1995,Comedy,3.5,3.5,theater
Just Cause,1995,Mystery,3.5,5.0|3.0|5.0|3.0|4.0|3.0|3.0|3.0|2.0|4.0|3.0|3.0|3.0|5.0,court
Losing Isaiah,1995,Drama,3.5,4.0|5.0|2.0|3.0,N/A
Underneath,1995,Mystery,3.5,4.0|3.0,N/A
Nelly & Monsieur Arnaud,1995,Drama,3.5,3.0|4.0,N/A
Cold Comfort Farm,1995,Comedy,3.5,3.0|3.0|3.0|4.0|4.0|5.0|3.0|3.5|2.5|4.0,in netflix queue
Heavy,1995,Drama,3.5,4.0|3.0,N/A
"Day of the Beast, The (Día de la Bestia, El)",1995,Adventure,3.5,3.5,N/A
Ice Cream Man,1995,Comedy,3.5,3.5,N/A
Serving in Silence: The Margarethe Cammermeyer Story,1995,(no genres listed),3.5,3.5,N/A
GoldenEye,1995,Action,3.5,3.0|2.0|3.0|2.0|5.0|3.0|4.0|5.0|5.0|4.0|3.0|4.0|3.0|3.0|3.0|4.5|1.0|3.5|3.0|3.5|4.0|3.0|4.0|3.0|3.0|4.0|5.0|3.0|1.0|4.5|3.0|3.0|3.0|5.0|4.0|2.0|3.5|4.0|5.0|4.0|4.5|4.0|2.0|4.0|4.5|4.0|4.0|4.0|3.0|2.0|3.0|5.0|5.0|3.5|2.0|4.0|3.5|4.0|3.0|3.5|3.0|4.0|4.0|2.5|4.0|3.0|4.0|3.0|3.5|4.0|4.0|4.0|3.0|3.5|3.5|3.0|3.0|4.5|5.0|3.0|3.0|3.5|3.0|3.0|4.5|3.0|3.0|3.5|3.0|3.5|4.0|4.5|3.0|3.0|4.0|4.0|2.0|4.0|3.0|2.0|3.0|3.0|4.0|2.0|4.0|4.0|2.5|3.0|4.0|0.5|4.0|4.5|4.0|4.0|4.0|4.0|4.5|3.0|3.0|4.0|3.5|4.5|3.5|5.0|3.0|3.5|3.0|3.0|3.5|3.0|4.0|4.0,N/A
Get Shorty,1995,Comedy,3.49,3.0|4.0|2.0|4.0|3.0|4.0|4.0|5.0|3.0|4.0|4.0|4.0|3.0|3.0|4.0|4.0|4.0|4.0|3.0|3.0|3.0|2.0|4.0|4.0|3.0|4.0|5.0|2.0|2.5|4.0|4.0|3.0|3.5|4.0|4.0|4.0|3.0|3.0|4.0|5.0|5.0|3.0|4.0|3.0|4.0|4.0|4.0|2.5|1.0|3.0|3.0|3.5|3.0|3.0|1.0|2.0|2.0|5.0|4.0|3.0|3.0|4.0|4.0|3.5|4.0|3.0|2.0|3.0|5.0|4.0|3.0|4.0|2.5|4.0|2.5|3.0|3.0|4.0|3.0|4.0|5.0|4.0|3.0|3.0|5.0|4.0|4.0|5.0|3.5,hollywood
French Kiss,1995,Action,3.48,4.0|3.0|3.0|4.0|4.0|3.0|3.0|4.0|5.0|3.5|3.0|2.0|5.0|3.0|3.0|5.0|4.0|3.0|5.0|3.0|4.0|4.0|0.5|3.0|3.0|3.0|4.0|5.0|3.0|3.0|3.0|4.0|3.0|3.0|4.0|2.5|3.0|4.0|4.0|4.0|4.0|5.0|2.0|2.5|3.5,N/A
While You Were Sleeping,1995,Comedy,3.47,4.0|3.0|4.0|3.0|4.0|4.0|5.0|5.0|3.0|3.0|4.0|5.0|4.0|3.0|5.0|3.5|3.0|4.0|5.0|1.5|4.5|3.0|3.0|4.0|4.0|3.0|3.0|3.0|4.0|4.0|3.0|4.0|3.0|4.0|3.0|1.0|4.0|5.0|2.0|3.0|2.0|4.0|3.0|1.5|1.0|3.0|3.5|4.0|3.5|4.0|3.0|3.5|3.5|3.0|3.0|4.0|3.0|3.0|3.0|3.0|5.0|5.0|3.0|3.0|3.0|3.0|3.0|3.0|5.0|4.0|3.5|4.0|4.0|2.0|4.0|3.5|5.0|4.0|3.5|3.5|4.0|3.0|4.0|3.0|4.0|4.0|4.0|3.0|5.0|2.0|5.0|3.0|2.5|3.0|3.0|3.0|2.5|3.0,coma
"Basketball Diaries, The",1995,Drama,3.47,2.5|3.5|4.0|4.5|4.0|2.0|2.5|4.0|3.5|4.0|5.0|3.0|3.0|2.5|4.0,leonardo dicaprio|addiction|mark wahlberg|heroin
Mighty Aphrodite,1995,Comedy,3.46,3.0|3.0|3.0|5.0|5.0|3.0|3.0|4.0|3.5|4.0|5.0|4.0|3.0|4.0|3.0|4.0|2.0|3.0|4.0|3.0|4.0|3.0|4.0|4.0|3.0|3.5|3.0|1.0,prostitution|adoption
"Misérables, Les",1995,Drama,3.46,4.0|4.0|3.0|4.0|4.0|4.0|4.0|2.5|2.0|3.0|3.5|3.0|4.0,N/A
"Prophecy, The",1995,Fantasy,3.46,5.0|3.5|4.0|3.0|2.0|4.0|2.0|4.0|2.5|3.0|5.0|3.5,N/A
In the Mouth of Madness,1995,Horror,3.44,3.0|3.0|2.0|4.5|3.0|3.5|3.5|5.0,N/A
Jumanji,1995,Adventure,3.43,4.0|4.0|3.0|3.0|3.0|3.5|4.0|4.5|4.0|2.5|3.0|3.0|5.0|4.0|4.0|3.0|5.0|1.5|3.0|4.0|4.0|3.0|3.5|3.0|1.0|2.0|4.0|4.0|3.5|4.0|4.0|2.0|2.5|3.5|2.5|3.0|2.5|4.0|5.0|4.0|2.0|3.5|4.0|4.0|2.0|3.0|0.5|3.0|4.0|3.5|2.5|3.0|3.5|5.0|3.0|4.0|1.5|3.0|4.0|3.0|3.5|3.0|5.0|4.0|3.0|4.0|3.0|3.0|4.5|4.0|2.5|4.0|3.0|5.0|3.0|4.0|3.0|3.0|4.5|4.0|4.0|3.0|4.5|4.0|2.5|2.5|2.5|3.0|3.0|3.0|4.5|3.5|4.0|4.5|4.0|4.0|2.5|4.0|3.5|4.5|4.0|2.5|4.0|4.0|2.5|4.0|4.0|5.0|3.5|2.0,robin williams|game|fantasy|magic board game
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy,3.43,4.0|3.0|5.0|5.0|3.0|3.0|3.5|3.0|4.0|2.5|3.0|3.0|3.5|3.0|4.0|3.0|3.0|4.0|5.0|2.5|3.0|2.5,N/A
"Walk in the Clouds, A",1995,Drama,3.43,4.0|3.5|4.0|3.0|2.5|5.0|3.0|3.0|2.0|1.5|3.0|3.0|5.0|4.0|5.0|1.5|4.0|5.0|2.5|4.0|3.5,N/A
Boys on the Side,1995,Comedy,3.43,2.0|4.0|5.0|3.0|3.0|3.0|3.0|2.0|4.0|4.0|4.0|5.0|4.0|2.0,N/A
Outbreak,1995,Action,3.43,4.0|3.0|4.0|4.0|3.0|3.0|3.0|5.0|4.0|5.0|4.0|4.0|2.5|3.5|3.0|5.0|4.0|4.0|4.0|3.0|4.0|3.0|3.5|5.0|4.0|3.0|3.0|3.0|3.0|4.0|3.0|4.0|3.0|4.0|1.0|4.0|3.0|3.0|4.0|5.0|3.0|1.0|4.0|3.0|2.0|2.5|2.0|1.0|4.0|4.0|3.0|4.0|3.0|4.0|4.0|3.0|4.5|4.0|3.0|1.0|3.0|3.0|3.0|4.5|3.5|5.0|3.0|3.0|4.0|3.5|3.0|3.0|4.0|3.0|5.0|3.0|4.0|3.0|5.0|5.0|4.0|3.0|3.0|3.5|4.0|1.0|3.0|3.0|3.5|4.0|3.0|5.0|3.0|4.0|3.0|2.5|3.0|3.0|4.0|2.5|3.0,N/A
Mallrats,1995,Comedy,3.4,2.0|4.0|4.0|2.5|2.0|2.5|4.0|4.0|3.0|3.0|3.0|5.0|4.0|3.5|2.0|3.5|4.0|4.0|4.0|0.5|4.0|2.0|4.0|3.0|4.0|4.0|3.5|3.5|4.0|4.0|4.0|4.5|3.5|4.5|3.0|2.5,N/A
French Twist (Gazon maudit),1995,Comedy,3.4,3.0|2.0|3.0|5.0|4.0,N/A
Screamers,1995,Action,3.4,4.0|5.0|3.0|4.0|3.5|2.0|1.0|5.0|3.0|4.0|5.0|2.0|3.0|2.5|4.0,N/A
Dolores Claiborne,1995,Drama,3.4,5.0|3.0|5.0|2.5|3.0|3.0|3.0|3.0|4.0|4.0|4.0|3.0|3.0|3.0|4.0|3.0|3.0|4.0|4.0|3.0|2.5|3.5|2.0|4.0,stephen king
Empire Records,1995,Comedy,3.38,5.0|3.5|3.0|2.5|3.5|3.0|5.0|1.5|3.0|5.0|3.0|2.0|4.0,N/A
Forget Paris,1995,Comedy,3.34,4.0|3.0|3.0|4.0|4.0|3.0|3.0|4.0|1.0|4.0|5.0|3.0|4.0|3.0|4.0|3.0|3.5|4.0|5.0|2.0|1.0|3.0,infertility|basketball|france
Now and Then,1995,Children,3.33,3.0|4.5|2.5|5.0|2.0|5.0|2.0|3.0|3.0,N/A
"Crossing Guard, The",1995,Action,3.33,4.0|3.0|3.0,N/A
"Brothers McMullen, The",1995,Comedy,3.33,4.0|3.0|4.0|4.5|4.0|2.0|4.0|4.0|3.0|2.0|2.5|3.0,N/A
"Amazing Panda Adventure, The",1995,Adventure,3.33,4.0|3.0|3.0,N/A
Blue in the Face,1995,Comedy,3.33,4.0|2.0|4.0,N/A
"Last Supper, The",1995,Drama,3.33,3.0|2.0|4.0|5.0|2.5|3.5,N/A
Billy Madison,1995,Comedy,3.33,5.0|4.0|2.0|4.0|1.0|5.0|3.0|3.5|4.0|2.0|5.0|4.0|3.5|2.0|1.0|5.0|5.0|3.5|3.5|4.0|3.0|4.0|2.0|3.0|3.0|3.5|3.5|3.0|3.0|3.0|3.0|3.0|5.0|3.0|3.0|1.0|4.0|4.5|4.0|5.0|4.0|3.0|3.0|2.5|4.0|2.0|2.5|3.0|2.5,stop looking at me swan|school|adam sandler
Devil in a Blue Dress,1995,Crime,3.32,5.0|4.0|3.0|3.0|3.0|2.0|3.0|3.0|3.0|3.0|4.0|2.5|4.0|4.0,N/A
To Die For,1995,Comedy,3.31,3.0|3.0|3.5|4.0|3.0|2.5|4.0|3.0|3.0|2.0|3.0|4.0|2.0|2.0|4.5|3.0|3.0|2.5|3.0|3.0|3.0|4.0|4.0|3.0|3.0|3.0|3.5|5.0|5.0|2.5|5.0|4.0,journalism
Clueless,1995,Comedy,3.29,3.0|3.0|4.0|3.0|3.0|5.0|3.0|3.0|3.0|3.0|4.0|3.0|5.0|4.0|4.0|1.5|1.0|4.0|3.0|4.0|3.0|4.0|0.5|3.0|3.0|4.0|3.0|3.5|1.0|2.0|3.5|4.0|3.0|4.0|3.0|1.0|5.0|3.0|5.0|3.0|3.0|3.0|3.0|5.0|3.0|4.0|2.0|4.0|4.0|1.0|3.0|3.5|2.0|2.0|3.0|4.0|3.0|2.0|4.0|1.0|4.5|4.0|3.5|3.0|3.0|2.5|4.0|4.0|3.0|3.0|4.0|5.0|2.0|3.0|3.5|2.5|4.5|3.0|3.5|1.0|5.0|3.0|4.0|4.0|4.5|4.0|3.0|3.0|3.5|4.0|3.0|3.0|5.0|1.0|4.0|4.5|4.0|4.0|3.0|3.0|5.0|5.0|3.0|3.0,chick flick|seen more than once|funny|emma|quotable|paul rudd|jane austen
"Bridges of Madison County, The",1995,Drama,3.28,3.0|3.0|3.0|4.0|3.0|4.0|4.0|3.0|4.0|4.0|4.0|2.5|3.0|3.0|5.0|3.0|3.0|3.0|3.0|4.5|1.0|2.0|3.5,N/A
Grumpier Old Men,1995,Comedy,3.26,4.0|5.0|3.0|3.0|4.0|5.0|3.0|4.0|3.0|3.5|2.0|3.0|3.5|5.0|3.5|3.0|3.0|3.0|5.0|4.0|1.0|3.5|4.0|4.0|3.0|4.0|2.5|1.0|3.0|3.5|0.5|3.0|3.0|4.0|3.0|4.0|4.0|3.0|3.0|3.0|3.0|2.5|4.0|5.0|3.0|1.0|5.0|3.0|3.0|4.0|1.5|2.0,moldy|old
Nick of Time,1995,Action,3.25,4.0|2.0|4.0|2.5|3.0|4.0|3.5|3.0|4.0|2.5,N/A
Strange Days,1995,Action,3.25,3.0|3.0|3.0|3.0|5.0|4.0|4.0|2.0|2.0|3.0|4.0|2.0|3.0|3.0|2.0|5.0|4.0|4.0|2.0|3.0|3.0|4.0|2.0|3.0|5.0|3.0|3.0|4.0,N/A
Bad Company,1995,Action,3.25,3.5|3.0,N/A
Bad Boys,1995,Action,3.25,4.0|3.5|3.0|1.5|1.0|4.5|4.0|4.0|3.0|5.0|2.0|1.0|3.5|3.5|4.0|3.0|4.0|3.0|2.0|3.0|4.0|3.0|3.5|4.0|4.0|3.0|3.5|3.0|3.0|2.0|3.5|2.5|3.0|5.0|3.0|4.0|3.0|3.5|4.0|3.0|3.5|4.0|3.0|3.0|3.0|4.0|2.0|3.0|2.5|4.0|3.5,N/A
"Indian in the Cupboard, The",1995,Adventure,3.24,4.0|3.0|5.0|4.0|5.0|3.0|3.0|4.0|4.0|3.0|2.0|4.0|3.0|2.0|2.5|4.0|4.0|3.5|1.0|1.0|3.0|3.0|3.0|3.0|4.0|4.0|3.0|4.0|3.0|2.0|2.0|5.0|2.0|4.0,N/A
Hackers,1995,Action,3.23,3.0|4.0|3.0|2.0|3.0|4.0|2.5|3.0|5.0|3.0|4.0|3.0|2.5|3.0|5.0|3.0|4.5|2.5|2.0|1.0|3.0|2.0|3.0|3.0|3.0|2.5|4.0|3.0|4.0|4.0|5.0|3.0|3.0|3.0|4.5,N/A
Copycat,1995,Crime,3.22,5.0|5.0|3.0|3.5|3.5|4.0|3.0|3.0|1.0|3.0|3.0|2.0|3.5|2.0|2.0|3.0|3.0|3.0|5.0|3.0|3.0|3.0|3.0|3.0|2.5|4.0|3.0|3.5|3.5|3.0|4.0|4.0|4.0|3.0|3.0|3.0,serial killer
Kicking and Screaming,1995,Comedy,3.21,4.0|2.0|4.5|4.0|4.0|3.0|1.0,N/A
Angus,1995,Comedy,3.21,4.0|3.0|1.5|4.0|3.0|4.0|3.0,N/A
"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,Comedy,3.2,4.0|3.0|3.0|4.0|4.5|3.0|3.5|5.0|3.0|2.0|3.5|4.0|3.5|3.0|1.5|3.0|3.5|2.0|3.0|3.5|3.0|2.0,N/A
Kiss of Death,1995,Crime,3.2,4.0|3.0|3.0|3.0|3.0,N/A
Restoration,1995,Drama,3.19,4.0|2.0|3.0|3.0|3.0|3.5|4.0|3.0,england
Sabrina,1995,Comedy,3.19,4.0|3.0|2.0|4.0|4.0|1.0|3.0|5.0|3.0|4.0|5.0|2.0|3.0|3.0|4.0|3.0|4.0|3.0|4.5|1.0|3.0|3.0|4.0|3.0|4.0|1.0|3.0|3.0|4.0|4.5|3.5|4.0|4.0|3.0|3.0|3.0|3.0|3.0|3.0|3.0|4.0|3.0|4.0|4.0|1.0|3.0|3.0|2.0|4.0|4.0|1.0|2.5|3.5|2.5,remake
